,smiles
243,CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)N=C(N)N
244,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C
245,CCCC1=C(C=CC2=C1ON=C2C(F)(F)F)OCCCOC3=CC4=C(C=C3)N(C=C4)CC(=O)O
246,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H](C(O3)O)O)O)O)O)O)O)O)O)O)O
247,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O
248,[34SH2]
249,CCCCCC(C(/C=C/C=C/C=C/C=C/C(CCCC(=O)O)O)O)O
250,C1=CC=C(C=C1)C(C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O
251,C#CCC(C(=O)O)N
252,C(=C/C(=O)O)\C(=O)O
253,C/C=C/C1=CC(=C(C=C1)O)OC
254,C1CCC(CC1)C(=O)O
255,O.O.O.O.O.[O-]S(=O)(=S)[O-].[Na+].[Na+]
256,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O
257,C1C[C@H](NC1)C2=CC(=NN2)NC(=O)NC3=CC=CC4=C3[C@@H]5CCCN5C4=O
258,C1CN(CCC1COC2=CC=CC3=C2C(=NC(=N3)N)N)CC4=C(C(=CC=C4)Cl)Cl
259,[O-]P(=O)([O-])[O-].[Mn+2]
260,C1=CC=C2C(=C1)C=CC3=C2N=CC=C3
261,CC1=NC(=NN1C2=CC(=CC(=C2)Cl)Cl)C(=O)O
262,C1=CC2=C(C=C1C(=[NH2+])N)NC(=N2)C(=O)C3=NC4=C(N3)C=C(C=C4)C(=[NH2+])N
263,CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC
264,CC1=CC=C(C=C1)S(=O)(=O)NCC(=O)NC(CC2=CC=CC(=C2)C(=N)N)C(=O)OC
265,CCCC[C@@H](C=O)NC(=O)O[C@H](CC1=CC=CC=C1)C(C)C
266,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CC=C3F)C#N
267,B#N
268,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O[C@H]4C[C@@H](O[C@@H]4CO)N5C=NC6=C5N=CN=C6N)O
269,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
270,C1=CC=C2C(=C1)C=CC=C2N(C3=CC=CC=C3C(=O)O)C(=O)C(=O)O
271,CC(C(=O)N)O
272,CC(=O)C1CCC2[C@@]1(CC(C3C2CCC4=CC(=O)CC[C@]34C)O)C
273,CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)O
274,CC(C(=O)O)C(=O)O
275,CC(CNC1=NC=NC2=C1C(=C(N2)C3=CC=CC=C3)C4=CC=CC=C4)O
276,CCCCCC[C@@H](C(=O)[O-])O
277,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Sr+2].[Sr+2].[Sr+2]
278,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
279,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
280,CC(C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CCCC([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)C)C
281,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CCC(=O)C4)C)C
282,[C]
283,C([C@H]([C@@H](CS)O)O)S
284,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5
285,CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C
286,C1=CC=C2C(=C1)C=CC3=C2C4=C(N3)C=CC5=CC=CC=C54
287,CCC=CCC=CCC=CCC=CC=CC(CCCC(=O)O)O
288,C[75Se]CC[C@@H](C(=O)O)N
289,CN1CCC[C@H]1CCN2C=C(C3=CC=CC=C32)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65
290,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
291,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C
292,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
293,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C(CN)N
294,C1CC[C@H]([C@H](C1)CCP(=O)(O)O)C[C@@H](C(=O)O)N
295,CCCCCC(=O)CP(=O)(O)O
296,CC(C)N1C=NC2=C1N=C(N=C2NC3=CC(=CC=C3)Cl)NCCO
297,CC(C)(C)C(C(CC1=C(C=C(C=C1)Cl)Cl)N2C=NC=N2)O
298,C1CCCCCC1
299,C1=CC(=CC=C1N=C(N)NO)Cl
300,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
301,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
302,CCCCCC(=O)CC[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O
303,[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Ca+2].[Ca+2]
304,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@@H]1[C@@H]([C@@H]([C@H]([C@@H]([C@H]1O)OP(=O)(O)O)OP(=O)(O)O)O)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
305,CC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C
306,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/[125I])CO)O
307,CCC(C)[C@@H](C(=O)N[C@@H](C(C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)C3CCCN3C(=O)CCCCCCCCCCCCCCC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CSSC4=CC(=C(C=C4)[N+](=O)[O-])C(=O)O)C(=O)O
308,C1=CC(=CC(=C1)CNC2=C(N=CC=C2)N)C3=CC4=C(C=C3)C=CN4
309,CC(C)[C@@H](C(=O)N1CCCC1)N
310,C(=O)[O-].[Na+]
311,C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4[C@@H]6[C@@H](O6)[C@H]([C@@H]5O)O)C=C2
312,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N[C@@H](N2)C(Cl)Cl
313,C([C@H](CS)O)O
314,CCOCCOCCOC
315,C(COCCOCCO)O
316,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)S(=O)(=O)[O-])C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N
317,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
318,CNCC1=CC=C(C=C1)C2=C3C(=NC=N2)N=CN3
319,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC(COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)O)OC(=O)CCCCCCCCCCCCCCCCC
320,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)[N+]4=CNC5=C4N=CN=C5N)O)O)O)O)C(=O)N
321,C1=C(C2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=CN=C2N)I
322,CCC(=C1C(=O)CC(CC1=O)C(=O)O)[O-].CCC(=C1C(=O)CC(CC1=O)C(=O)O)[O-].[Ca+2]
323,CC1=NC=CN1CC2CCC3=C(C2=O)C4=C5N3CCCC5=CC=C4
324,C[C@@H](CC(C)(C)O)O
325,C([C@@H]1[C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)O)O)O
326,C(C(C(=O)O)NC(=O)CN)C(=O)O
327,C1=CC(=C(C=C1CCN)O)O
328,C(C(C(=O)O)S)(C(=O)O)S
329,CCCCCCC1=CC=C(C=C1)C(=O)C=C
330,CCCCC[C@@H](CCCCCCCCCCCC(=O)O)O
331,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C
332,C1=CC=C2C(=C1)C=CC=C2CC(=O)O
333,CN(C)CCC1=CC(=C(C2=C1C=CC3=CC=CC=C32)OC)OC
334,N.N.N.N.N.N.[Cl-].[Cl-].[Cl-].[Co+3]
335,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
336,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCC[C@H]1C[C@H]1CCCCCC
337,CCOC(=O)C1=CC2=C(C=C(C=C2)O)OC1=O
338,C1=CC(=CC=C1C[C@H](C(=O)O)N)Cl
339,CO[C@@H]1CN(CC[C@@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F
340,C1=CC=C(C=C1)NC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O
341,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
342,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OC4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N.OS(=O)(=O)O
343,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
344,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
345,C(CCNCCCN)CNCCCN
346,CCC1=C(C(=NC(=N1)N)N)C2=CC3=C(CC[C@H](N3CCCOC)C4=CC=CC=C4)C=C2
347,C1CN[C@@H]1C(=O)O
348,C1C(CNC1C(=O)O)O
349,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
350,C[C@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@H]([C@H](O4)CO)O)O
351,CC(C)CC(C(=O)O)N
352,[214Pb]
353,C#CC(CCC(=O)O)N
354,CC(C)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=NC=N4)C5=C(C=C(C=C5)Cl)Cl
355,C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O
356,C1=C(C=C2C(=C1Cl)C(=C(N2)C(=O)O)CCC(=O)O)Cl
357,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4[C@@]3(CC[C@@H](C4)O)C)C
358,CC1=C(C=NN1)C2=CC=C(C=C2)CCN
359,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4NC(=O)C5=CC=CC=C5)O)OP(=O)(O1)O
360,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl
361,CCNC(=O)COC1=C(C=C(C=C1)Cl)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](C3CCCCC3)N
362,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
363,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O
364,C1=CC=C2C(=C1)C3=C4C5=C2C6=CC=CC=C6C7=C5C8=C(C9=CC=CC=C97)C1=CC=CC=C1C1=C8C4=C(C2=CC=CC=C23)C2=CC=CC=C21
365,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
366,CC(=O)[O-].CC(=O)[O-].O.O.O.[Pb+2]
367,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O
368,C(CC(=O)N)C(=O)N
369,CC(=CCC1=C(OC2=C3C=CC(OC3=CC(=C2C1=O)O)(C)C)C4=C(C=C(C=C4)O)O)C
370,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O
371,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
372,C[C@H]1CC(=O)C[C@H]2[C@]1([C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C)C
373,C(CCCCC/C=C/C=C/C=C/C=C/C(=O)O)CCCCCO
374,CO/C=C(\C1=CC=CC=C1/C=C/C2=CC=CC=C2)/C(=O)OC
375,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@@H]([C@H](O[C@@H]2[C@H](CO)O)O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)[C@H](CO)O)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)[C@H](CO)O)O)O)O)O)O)O)O
376,CC1=CC=CC=C1N2CCN(CC2)CCC3=NN=C4N3CCCC4
377,C(C1[C@H](C([C@H]([C@H](O1)O)O)O)O[C@@H]2[C@@H](C(C(C(O2)CO)O[C@@H]3[C@@H](C(C(C(O3)CO)O)O)O)O)O)O
378,O([Si])[Si]
379,C1=CC(=C(C(=C1)Cl)Cl)C2=NC3=C(C=NN3C(=C2)NCC4=CC=NC=C4)SC#N
380,CCCC[C@@]12CCC(=O)C(=C1C3=C(C2)C=C(C=C3)O)Br
381,C[C@H]1[C@H]2[C@H](C[C@@]3([C@@]2(CC[C@]45[C@H]3CC[C@@H]6[C@]4(C5)CC[C@@H](C6(C)C)O)C)C)O[C@]7([C@@H]1OC([C@H]7O)(C)C)O
382,CCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O
383,CC(C)CC[C@H]([C@@](C)(C1CC[C@@]2([C@@]1(C[C@H](C3C2=CC(=O)[C@]4([C@@]3(C[C@@H]([C@@H](C4)O)O)C)O)O)C)O)O)O
384,CCCCCCCCCCCCCCO
385,CC(C)N(C1=CC=CC=C1)C(=O)CCl
386,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O
387,C[C@@H]1CN(C(=O)[C@@H]1N)O
388,CC[C@H]1CN2CCC1C[C@@H]2[C@H](C3=C4C=C(C=CC4=NC=C3)OC)O
389,CC1=CC(NC2=CC=CC=C12)(C)C
390,CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)O)NC(=O)[C@@H]1[C@H](O1)C(=O)OCC
391,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O
392,CN(C)C[C@@H](COC1=CC=C(C=C1)NC2=NC=CC(=N2)NC3=C(C=CC(=C3)Cl)Cl)O
393,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(CO)O.C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(CO)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O
394,C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OP(=O)(N[C@H](CC(C)C)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)O)O)O)O)O
395,[2H]C([2H])[2H]
396,C[C@@H]([C@@H](C(=O)O)N)C(=O)O
397,CC(C)CC([13C](=O)O)N
398,CC[C@H](C=O)[C@@H](CNS(=O)(=O)C1=CC=C(C=C1)C)C(=O)O
399,O=[V]=O
400,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C
401,CC(C(=O)O)(Cl)Cl
402,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
403,CC(C)NCCO
404,C[Si]C
405,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O
406,C([C@H]([C@H]([C@@H]([C@H](C=O)[18F])O)O)O)O
407,CC1(C([C@H](C2=C(O1)C=CC(=C2)OCCCC(F)(F)F)N(C)S(=O)(=O)C)O)C
408,CC(C(=O)[O-])[O-].[Na+].[Na+]
409,CCCCC(CC)C(=O)O
410,C1CC(NC1)C(=O)O
411,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C
412,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O
413,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)O)O
414,C1=CC(=C(C=C1C2=CC=C(O2)/C=C\3/C(=O)N=C(S3)N)C(F)(F)F)S(=O)(=O)N
415,C[C@@H]1CC[C@H](C2=C(CC[C@H]12)C)/C=C(\C)/C(=O)O
416,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O
417,CCC1=CNC(=O)NC1=O
418,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O
419,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
420,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
421,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
422,CC1CC2C(C(C3(C1C=CC3=O)C)OC(=O)CC(=O)OC4C5C(CC(C6C4(C(=O)C=C6)C)C)OC(=O)C5=C)C(=C)C(=O)O2
423,CCCCCCCCCCCCCCCC(=O)O
424,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CN(C)CCO)O.C1=CC(=CN=C1)C(=O)O
425,C(C(=O)O)NC(CO)(CO)CO
426,C1=CC=[NH+]C=C1.[Cl-]
427,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O
428,CC(C)N=C(N)NO
429,CCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCCCC
430,C1[C@H](O[C@H]([C@H]1F)N2C=NC3=C2N=CN=C3NN)CO
431,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
432,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1=O)CO)O)O
433,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
434,CC(=O)OCC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C
435,CC1=CC(=O)C[C@H]2[C@]1([C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C)C
436,C1CCS(=O)(=O)N(C1)C2=CC=C(C=C2)S(=O)(=O)N
437,CC/C=C\C/C=C\C/C=C\C/C=C\C=C\[C@@H](CCCC(=O)O)O
438,C[C@]12CCC3C(C1CC[C@]2(C#C)O)CCC4=CC(=C(C=C34)O)O
439,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
440,[OH3+].[OH3+].O.O.O.O.O.O.O.O.O.O.O.[OH2+]O.OO.OO.[V].[V].[V].[V].[V].[V].[V]
441,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl
442,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
443,C1CC1(CN)NC(=O)[C@H](CS(=O)(=O)CC2=CC=CC=C2)N[C@@H](C3=CC=C(C=C3)O)C(F)(F)F
444,CC(=CCC[C@](C)(C1CC[C@@]2([C@@H]1[C@@H](CC3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)O)C)O)C
445,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
446,CC1=CC2=C(C=C1)N=C(N3N2C(=O)[C@@H](C3=O)CC=C)N(C)C
447,C(=O)([O-])[O-].[Ba+2]
448,C1CNC(=O)C2=C1NC(=C2)C3=CC(=NC=C3)C4=CC=CC=C4F
449,C1=CC(=C(C=C1[C@@H]2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
450,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F
451,[O-][33P](=O)([O-])[O-]
452,C1=CC(=CC=C1CN)NC(=O)C2=CC3=C(C=C2)C=C(C=C3)C(=N)N
453,B#B
454,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
455,C([C@H](COP(=O)(O)OCC(COP(=O)(O)OC[C@@H](COC=O)OC=O)O)OC=O)OC=O
456,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O[C@@H]4[C@H](O[C@H]([C@@H]4O)N5C=NC6=C5N=CN=C6N)CO)O)O
457,CC(CCC(=O)O)C1CCC2C1(CCC3C2C[C@@H](C4C3(CC[C@H](C4)O)C)O)C
458,C[C@H](C(C)(C)C)O[P@H](=O)C
459,O.[Cu].[Cu]
460,[2H]N=O
461,[NH2-].[Cl-].[Hg+2]
462,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
463,CCCCCCCCCCCCCCCCCC(=O)O.CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
464,C[NH2+]CC[C@H](C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
465,C1=CC(=CC=C1C(=O)O)[Hg]
466,C(CS)O
467,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C
468,C[S+](C)CCC(C(=O)O)N
469,CN(C)C(=NCCC[C@@H](C(=O)O)N)N
470,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=CC(=C(C=C2)OC3=CC(=C(C=C3)C(=O)O)C(=O)O)NC(=O)C4=CC(=CC=C4)[N+](=O)[O-]
471,C(=O)([O-])[O-].[Ag+].[Ag+]
472,C[C@H](C(=O)O)[C@](CC(=O)O)(C(=O)O)O
473,[102Ru]
474,[O-]S(=O)(=O)[O-].[Fe+2]
475,CCCCC/C=C\CC(=O)C(CCCCCCCC(=O)[O-])O
476,CC(=N)N1CCC(CC1)OC2=CC3=C(C=C2)C4=CC=CC=C4N3CC5=CC6=C(C=C5)C=CC(=C6)C(=N)N
477,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)O
478,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
479,CN1CCN(CC1)NC(=S)NC2=CC=C(C=C2)S(=O)(=O)N
480,C=CC(=O)[O-].[Na+]
481,C(CCO)C[C@@H](C(=O)O)N
482,CC1=NC=C(C(=C1O)C=O)CO
483,C1=CC(=CC(=C1)Cl)COC2=CC3=C(C=C2)C(=CC(=O)O3)C=O
484,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O
485,CC(CCO)O
486,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(N=C3N)Cl)CO)O
487,C1=CC2=C(C=C1Cl)N=C(S2)CN3C(=O)C=CN(C3=O)CC(=O)O
488,CC(=O)[O-].[K+]
489,C(CO)C(CCO)(CCO)N
490,CCCCCC(/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1CC(=O)CCCCC(=O)O)O)O)O
491,C1C2=C(CS1(=O)=O)C=C(C=C2)N/C=C\3/C4=C(C=CC(=C4)C5=CN=CO5)NC3=O
492,[NH4+].F.[F-]
493,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O)O)O)O)O)O)O
494,CCOCCOCCOCCOCCOCCOCC
495,CC1([C@@H](N2C(S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
496,[3H]O
